URN,LA,Estab,SCHOOLTYPE,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCLF,NUMFSM,NUMFSMEVER,NORFSMEVER,PNUMFSMEVER
106157,356,6019,Independent school,1479,700,779,47.3%,52.7%,4,0.3%,245,16.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106158,356,6021,Independent school,38,22,16,57.9%,42.1%,0,0.0%,15,39.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106162,356,6025,Independent school,51,14,37,27.5%,72.5%,51,100.0%,0,0.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106166,356,7502,Non-maintained special school,64,15,49,23.4%,76.6%,64,100.0%,0,0.0%,1,63,0,1.6%,98.4%,0.0%,22,24,48,50.0%
106167,358,7503,Non-maintained special school,119,32,87,26.9%,73.1%,119,100.0%,0,0.0%,14,105,0,11.8%,88.2%,0.0%,52,52,92,56.5%
106168,356,7504,State-funded special school,58,21,37,36.2%,63.8%,55,94.8%,3,5.2%,7,51,0,12.1%,87.9%,0.0%,23,21,54,38.9%
106170,356,7506,State-funded special school,201,45,156,22.4%,77.6%,201,100.0%,0,0.0%,25,175,1,12.4%,87.1%,0.5%,72,73,201,36.3%
106172,356,7508,State-funded special school,341,101,240,29.6%,70.4%,341,100.0%,0,0.0%,16,324,1,4.7%,95.0%,0.3%,125,107,281,38.1%
106173,356,7509,State-funded special school,91,29,62,31.9%,68.1%,91,100.0%,0,0.0%,17,74,0,18.7%,81.3%,0.0%,40,24,53,45.3%
106179,357,2004,State-funded primary,184,86,98,46.7%,53.3%,10,5.4%,34,18.5%,4,180,0,2.2%,97.8%,0.0%,56,47,167,28.1%
106181,357,2006,State-funded primary,400,206,194,51.5%,48.5%,6,1.5%,68,17.0%,29,370,1,7.3%,92.5%,0.3%,198,198,368,53.8%
106184,357,2011,State-funded primary,196,94,102,48.0%,52.0%,5,2.6%,35,17.9%,8,187,1,4.1%,95.4%,0.5%,112,111,176,63.1%
106188,357,2018,State-funded primary,430,192,238,44.7%,55.3%,12,2.8%,60,14.0%,33,397,0,7.7%,92.3%,0.0%,98,100,404,24.8%
106189,357,2019,State-funded primary,231,124,107,53.7%,46.3%,1,0.4%,25,10.8%,5,226,0,2.2%,97.8%,0.0%,31,32,231,13.9%
106190,357,2020,State-funded primary,197,97,100,49.2%,50.8%,5,2.5%,47,23.9%,30,167,0,15.2%,84.8%,0.0%,72,69,180,38.3%
106193,357,2025,State-funded primary,218,108,110,49.5%,50.5%,2,0.9%,25,11.5%,7,211,0,3.2%,96.8%,0.0%,23,23,195,11.8%
106195,357,2027,State-funded primary,229,112,117,48.9%,51.1%,9,3.9%,36,15.7%,12,217,0,5.2%,94.8%,0.0%,80,82,207,39.6%
106201,357,2037,State-funded primary,232,104,128,44.8%,55.2%,7,3.0%,29,12.5%,91,141,0,39.2%,60.8%,0.0%,96,96,209,45.9%
106203,357,2039,State-funded primary,212,96,116,45.3%,54.7%,4,1.9%,30,14.2%,16,195,1,7.5%,92.0%,0.5%,26,29,212,13.7%
106206,357,2042,State-funded primary,459,207,252,45.1%,54.9%,14,3.1%,59,12.9%,63,396,0,13.7%,86.3%,0.0%,165,166,417,39.8%
106207,357,2045,State-funded primary,447,226,221,50.6%,49.4%,8,1.8%,87,19.5%,91,356,0,20.4%,79.6%,0.0%,127,128,413,31.0%
106210,357,2051,State-funded primary,219,119,100,54.3%,45.7%,5,2.3%,33,15.1%,11,208,0,5.0%,95.0%,0.0%,42,39,194,20.1%
106213,357,2056,State-funded primary,212,124,88,58.5%,41.5%,2,0.9%,33,15.6%,3,209,0,1.4%,98.6%,0.0%,47,48,212,22.6%
106214,357,2058,State-funded primary,346,151,195,43.6%,56.4%,32,9.2%,62,17.9%,31,315,0,9.0%,91.0%,0.0%,118,116,307,37.8%
106219,357,2068,State-funded primary,445,222,223,49.9%,50.1%,11,2.5%,105,23.6%,40,403,2,9.0%,90.6%,0.4%,159,160,413,38.7%
106222,357,2073,State-funded primary,178,93,85,52.2%,47.8%,3,1.7%,6,3.4%,2,176,0,1.1%,98.9%,0.0%,19,19,178,10.7%
106226,357,3000,State-funded primary,226,116,110,51.3%,48.7%,1,0.4%,40,17.7%,5,221,0,2.2%,97.8%,0.0%,47,47,210,22.4%
106227,357,3001,State-funded primary,81,35,46,43.2%,56.8%,2,2.5%,12,14.8%,3,78,0,3.7%,96.3%,0.0%,20,20,81,24.7%
106228,357,3003,State-funded primary,332,164,168,49.4%,50.6%,5,1.5%,23,6.9%,8,324,0,2.4%,97.6%,0.0%,65,65,317,20.5%
106229,357,3019,State-funded primary,196,93,103,47.4%,52.6%,6,3.1%,38,19.4%,38,158,0,19.4%,80.6%,0.0%,110,111,196,56.6%
106234,357,3026,State-funded primary,216,117,99,54.2%,45.8%,2,0.9%,31,14.4%,3,213,0,1.4%,98.6%,0.0%,45,45,204,22.1%
106235,357,3027,State-funded primary,214,112,102,52.3%,47.7%,9,4.2%,51,23.8%,20,194,0,9.3%,90.7%,0.0%,65,66,187,35.3%
106237,357,3303,State-funded primary,130,66,64,50.8%,49.2%,2,1.5%,23,17.7%,0,130,0,0.0%,100.0%,0.0%,24,24,130,18.5%
106238,357,3304,State-funded primary,215,122,93,56.7%,43.3%,2,0.9%,34,15.8%,4,211,0,1.9%,98.1%,0.0%,33,31,205,15.1%
106239,357,3305,State-funded primary,203,100,103,49.3%,50.7%,5,2.5%,52,25.6%,33,170,0,16.3%,83.7%,0.0%,87,89,191,46.6%
106240,357,3308,State-funded primary,210,97,113,46.2%,53.8%,12,5.7%,50,23.8%,10,200,0,4.8%,95.2%,0.0%,44,48,210,22.9%
106241,357,3309,State-funded primary,231,108,123,46.8%,53.2%,5,2.2%,30,13.0%,17,214,0,7.4%,92.6%,0.0%,34,32,205,15.6%
106242,357,3310,State-funded primary,215,110,105,51.2%,48.8%,3,1.4%,14,6.5%,21,194,0,9.8%,90.2%,0.0%,34,35,189,18.5%
106244,357,3312,State-funded primary,238,121,117,50.8%,49.2%,2,0.8%,26,10.9%,207,31,0,87.0%,13.0%,0.0%,105,105,208,50.5%
106245,357,3313,State-funded primary,203,92,111,45.3%,54.7%,15,7.4%,20,9.9%,86,117,0,42.4%,57.6%,0.0%,122,146,203,71.9%
106246,357,3314,State-funded primary,204,88,116,43.1%,56.9%,12,5.9%,26,12.7%,66,138,0,32.4%,67.6%,0.0%,93,95,204,46.6%
106247,357,3316,State-funded primary,226,115,111,50.9%,49.1%,6,2.7%,21,9.3%,39,185,2,17.3%,81.9%,0.9%,51,48,205,23.4%
106249,357,3319,State-funded primary,438,203,235,46.3%,53.7%,6,1.4%,88,20.1%,72,366,0,16.4%,83.6%,0.0%,94,95,417,22.8%
106252,357,3322,State-funded primary,226,109,117,48.2%,51.8%,8,3.5%,30,13.3%,24,202,0,10.6%,89.4%,0.0%,36,36,211,17.1%
106253,357,3323,State-funded primary,421,234,187,55.6%,44.4%,11,2.6%,56,13.3%,43,378,0,10.2%,89.8%,0.0%,120,120,391,30.7%
106254,357,3324,State-funded primary,185,79,106,42.7%,57.3%,6,3.2%,20,10.8%,5,180,0,2.7%,97.3%,0.0%,39,41,171,24.0%
106255,357,3325,State-funded primary,246,128,118,52.0%,48.0%,24,9.8%,44,17.9%,19,227,0,7.7%,92.3%,0.0%,62,60,216,27.8%
106256,357,3326,State-funded primary,248,129,119,52.0%,48.0%,4,1.6%,13,5.2%,50,198,0,20.2%,79.8%,0.0%,46,46,213,21.6%
106257,357,3327,State-funded primary,237,115,122,48.5%,51.5%,8,3.4%,39,16.5%,63,174,0,26.6%,73.4%,0.0%,31,33,211,15.6%
106266,357,4018,State-funded secondary,880,450,430,51.1%,48.9%,30,3.4%,142,16.1%,25,855,0,2.8%,97.2%,0.0%,147,200,880,22.7%
106268,357,4025,State-funded secondary,1169,619,550,53.0%,47.0%,43,3.7%,128,10.9%,181,985,3,15.5%,84.3%,0.3%,476,517,1169,44.2%
106270,357,4602,State-funded secondary,832,427,405,51.3%,48.7%,18,2.2%,111,13.3%,161,671,0,19.4%,80.6%,0.0%,188,198,832,23.8%
106271,357,4603,State-funded secondary,782,389,393,49.7%,50.3%,43,5.5%,68,8.7%,45,737,0,5.8%,94.2%,0.0%,159,196,782,25.1%
106276,357,6000,Independent school,125,66,59,52.8%,47.2%,2,1.6%,24,19.2%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106278,357,7002,State-funded special school,97,6,91,6.2%,93.8%,97,100.0%,0,0.0%,0,97,0,0.0%,100.0%,0.0%,71,83,97,85.6%
106279,357,7005,State-funded special school,139,37,102,26.6%,73.4%,139,100.0%,0,0.0%,31,108,0,22.3%,77.7%,0.0%,65,57,101,56.4%
106281,357,7009,State-funded special school,161,49,112,30.4%,69.6%,161,100.0%,0,0.0%,27,132,2,16.8%,82.0%,1.2%,95,95,159,59.7%
106283,358,2000,State-funded primary,444,225,219,50.7%,49.3%,7,1.6%,59,13.3%,118,326,0,26.6%,73.4%,0.0%,28,28,416,6.7%
106284,358,2002,State-funded primary,352,169,183,48.0%,52.0%,9,2.6%,25,7.1%,137,215,0,38.9%,61.1%,0.0%,49,48,338,14.2%
106285,358,2003,State-funded primary,472,250,222,53.0%,47.0%,5,1.1%,34,7.2%,189,283,0,40.0%,60.0%,0.0%,54,49,441,11.1%
106288,358,2006,State-funded primary,631,319,312,50.6%,49.4%,16,2.5%,58,9.2%,120,510,1,19.0%,80.8%,0.2%,100,98,581,16.9%
106289,358,2007,State-funded primary,591,296,295,50.1%,49.9%,16,2.7%,76,12.9%,296,295,0,50.1%,49.9%,0.0%,95,97,559,17.4%
106290,358,2008,State-funded primary,418,177,241,42.3%,57.7%,17,4.1%,85,20.3%,101,315,2,24.2%,75.4%,0.5%,143,139,368,37.8%
106293,358,2011,State-funded primary,235,112,123,47.7%,52.3%,5,2.1%,13,5.5%,68,167,0,28.9%,71.1%,0.0%,17,17,213,8.0%
106294,358,2012,State-funded primary,400,187,213,46.8%,53.3%,10,2.5%,40,10.0%,81,318,1,20.3%,79.5%,0.3%,14,13,367,3.5%
106295,358,2013,State-funded primary,222,97,125,43.7%,56.3%,6,2.7%,27,12.2%,40,182,0,18.0%,82.0%,0.0%,12,12,198,6.1%
106298,358,2019,State-funded primary,682,346,336,50.7%,49.3%,17,2.5%,64,9.4%,252,429,1,37.0%,62.9%,0.1%,45,45,630,7.1%
106299,358,2021,State-funded primary,467,232,235,49.7%,50.3%,9,1.9%,28,6.0%,127,340,0,27.2%,72.8%,0.0%,38,42,437,9.6%
106300,358,2022,State-funded primary,463,238,225,51.4%,48.6%,13,2.8%,38,8.2%,99,362,2,21.4%,78.2%,0.4%,76,75,436,17.2%
106301,358,2023,State-funded primary,654,308,346,47.1%,52.9%,8,1.2%,8,1.2%,142,484,28,21.7%,74.0%,4.3%,21,21,625,3.4%
106303,358,2025,State-funded primary,594,295,299,49.7%,50.3%,34,5.7%,45,7.6%,234,360,0,39.4%,60.6%,0.0%,222,216,559,38.6%
106304,358,2026,State-funded primary,256,125,131,48.8%,51.2%,20,7.8%,34,13.3%,31,225,0,12.1%,87.9%,0.0%,32,32,256,12.5%
106308,358,2033,State-funded primary,311,155,156,49.8%,50.2%,18,5.8%,37,11.9%,78,233,0,25.1%,74.9%,0.0%,24,25,311,8.0%
106312,358,2037,State-funded primary,200,95,105,47.5%,52.5%,6,3.0%,14,7.0%,19,181,0,9.5%,90.5%,0.0%,19,19,175,10.9%
106313,358,2039,State-funded primary,227,104,123,45.8%,54.2%,15,6.6%,13,5.7%,26,201,0,11.5%,88.5%,0.0%,18,18,181,9.9%
106315,358,2041,State-funded primary,507,264,243,52.1%,47.9%,10,2.0%,76,15.0%,73,434,0,14.4%,85.6%,0.0%,35,34,478,7.1%
106316,358,2042,State-funded primary,518,257,261,49.6%,50.4%,15,2.9%,71,13.7%,42,475,1,8.1%,91.7%,0.2%,38,38,489,7.8%
106318,358,2044,State-funded primary,451,234,217,51.9%,48.1%,6,1.3%,31,6.9%,23,428,0,5.1%,94.9%,0.0%,10,11,425,2.6%
106321,358,2047,State-funded primary,363,173,190,47.7%,52.3%,15,4.1%,79,21.8%,170,193,0,46.8%,53.2%,0.0%,135,138,331,41.7%
106322,358,2049,State-funded primary,664,329,335,49.5%,50.5%,18,2.7%,38,5.7%,523,139,2,78.8%,20.9%,0.3%,176,178,588,30.3%
106323,358,2050,State-funded primary,464,228,236,49.1%,50.9%,9,1.9%,27,5.8%,198,266,0,42.7%,57.3%,0.0%,96,98,432,22.7%
106325,358,2052,State-funded primary,687,349,338,50.8%,49.2%,20,2.9%,53,7.7%,379,308,0,55.2%,44.8%,0.0%,170,168,621,27.1%
106327,358,2056,State-funded primary,239,110,129,46.0%,54.0%,4,1.7%,37,15.5%,65,172,2,27.2%,72.0%,0.8%,62,63,239,26.4%
106328,358,2057,State-funded primary,209,106,103,50.7%,49.3%,2,1.0%,10,4.8%,55,154,0,26.3%,73.7%,0.0%,30,29,179,16.2%
106329,358,2058,State-funded primary,308,159,149,51.6%,48.4%,2,0.6%,38,12.3%,44,264,0,14.3%,85.7%,0.0%,50,48,280,17.1%
106332,358,2061,State-funded primary,231,105,126,45.5%,54.5%,2,0.9%,36,15.6%,18,213,0,7.8%,92.2%,0.0%,18,18,209,8.6%
106334,358,2063,State-funded primary,176,82,94,46.6%,53.4%,7,4.0%,24,13.6%,36,140,0,20.5%,79.5%,0.0%,59,60,162,37.0%
106337,358,3005,State-funded primary,182,87,95,47.8%,52.2%,7,3.8%,38,20.9%,20,162,0,11.0%,89.0%,0.0%,55,56,164,34.1%
106338,358,3301,State-funded primary,620,299,321,48.2%,51.8%,14,2.3%,100,16.1%,69,544,7,11.1%,87.7%,1.1%,23,27,620,4.4%
106340,358,3304,State-funded primary,652,300,352,46.0%,54.0%,13,2.0%,55,8.4%,110,541,1,16.9%,83.0%,0.2%,51,53,614,8.6%
106341,358,3305,State-funded primary,233,125,108,53.6%,46.4%,2,0.9%,30,12.9%,75,158,0,32.2%,67.8%,0.0%,54,52,215,24.2%
106343,358,3307,State-funded primary,222,114,108,51.4%,48.6%,10,4.5%,43,19.4%,69,153,0,31.1%,68.9%,0.0%,52,48,201,23.9%
106344,358,3308,State-funded primary,266,135,131,50.8%,49.2%,6,2.3%,39,14.7%,64,202,0,24.1%,75.9%,0.0%,7,7,245,2.9%
106345,358,3309,State-funded primary,216,112,104,51.9%,48.1%,3,1.4%,43,19.9%,74,141,1,34.3%,65.3%,0.5%,31,31,200,15.5%
106346,358,3310,State-funded primary,209,103,106,49.3%,50.7%,3,1.4%,32,15.3%,14,195,0,6.7%,93.3%,0.0%,86,90,186,48.4%
106347,358,3311,State-funded primary,216,107,109,49.5%,50.5%,5,2.3%,29,13.4%,23,193,0,10.6%,89.4%,0.0%,35,34,203,16.7%
106349,358,3313,State-funded primary,196,98,98,50.0%,50.0%,10,5.1%,34,17.3%,17,179,0,8.7%,91.3%,0.0%,27,29,196,14.8%
106350,358,3314,State-funded primary,244,118,126,48.4%,51.6%,5,2.0%,45,18.4%,15,229,0,6.1%,93.9%,0.0%,15,16,217,7.4%
106352,358,3318,State-funded primary,225,104,121,46.2%,53.8%,5,2.2%,25,11.1%,27,198,0,12.0%,88.0%,0.0%,10,10,202,5.0%
106353,358,3319,State-funded primary,331,174,157,52.6%,47.4%,15,4.5%,51,15.4%,57,273,1,17.2%,82.5%,0.3%,72,69,306,22.5%
106355,358,3324,State-funded primary,162,77,85,47.5%,52.5%,5,3.1%,20,12.3%,32,130,0,19.8%,80.2%,0.0%,40,41,150,27.3%
106356,358,3325,State-funded primary,327,164,163,50.2%,49.8%,7,2.1%,40,12.2%,36,291,0,11.0%,89.0%,0.0%,52,51,301,16.9%
106358,358,3327,State-funded primary,236,117,119,49.6%,50.4%,7,3.0%,24,10.2%,8,228,0,3.4%,96.6%,0.0%,12,12,210,5.7%
106359,358,3330,State-funded primary,240,123,117,51.3%,48.8%,10,4.2%,36,15.0%,62,178,0,25.8%,74.2%,0.0%,59,59,213,27.7%
106360,358,3331,State-funded primary,184,83,101,45.1%,54.9%,5,2.7%,24,13.0%,66,118,0,35.9%,64.1%,0.0%,74,74,184,40.2%
106365,358,4015,State-funded secondary,500,217,283,43.4%,56.6%,61,12.2%,50,10.0%,238,261,1,47.6%,52.2%,0.2%,160,168,500,33.6%
106368,358,4025,State-funded secondary,942,435,507,46.2%,53.8%,12,1.3%,53,5.6%,307,635,0,32.6%,67.4%,0.0%,121,111,798,13.9%
106370,358,4028,State-funded secondary,958,440,518,45.9%,54.1%,49,5.1%,129,13.5%,464,479,15,48.4%,50.0%,1.6%,381,386,958,40.3%
106375,358,5402,State-funded secondary,1049,515,534,49.1%,50.9%,51,4.9%,122,11.6%,192,857,0,18.3%,81.7%,0.0%,270,283,1049,27.0%
106376,358,5403,State-funded secondary,1593,783,810,49.2%,50.8%,59,3.7%,246,15.4%,135,1453,5,8.5%,91.2%,0.3%,184,193,1374,14.0%
106377,358,6000,Independent school,324,324,0,100.0%,0.0%,1,0.3%,29,9.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106379,358,6002,Independent school,282,0,282,0.0%,100.0%,1,0.4%,27,9.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106381,358,6004,Independent school,121,21,100,17.4%,82.6%,0,0.0%,17,14.0%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106382,358,6005,Independent school,162,75,87,46.3%,53.7%,0,0.0%,17,10.5%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106383,358,6006,Independent school,203,92,111,45.3%,54.7%,0,0.0%,21,10.3%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106385,358,6008,Independent school,210,97,113,46.2%,53.8%,0,0.0%,38,18.1%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106386,358,6012,Independent school,183,92,91,50.3%,49.7%,0,0.0%,3,1.6%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106391,358,7001,State-funded special school,148,48,100,32.4%,67.6%,148,100.0%,0,0.0%,28,120,0,18.9%,81.1%,0.0%,54,40,102,39.2%
106394,358,7005,State-funded special school,124,38,86,30.6%,69.4%,113,91.1%,11,8.9%,20,102,2,16.1%,82.3%,1.6%,51,51,116,44.0%
106397,359,1000,State-funded nursery,97,40,57,41.2%,58.8%,0,0.0%,30,30.9%,8,89,0,8.2%,91.8%,0.0%,0,NA,NA,NA
106398,359,1003,State-funded nursery,89,46,43,51.7%,48.3%,0,0.0%,17,19.1%,16,73,0,18.0%,82.0%,0.0%,0,NA,NA,NA
106399,359,2000,State-funded primary,309,131,178,42.4%,57.6%,8,2.6%,105,34.0%,68,241,0,22.0%,78.0%,0.0%,132,127,278,45.7%
106402,359,2007,State-funded primary,211,102,109,48.3%,51.7%,5,2.4%,24,11.4%,16,195,0,7.6%,92.4%,0.0%,8,8,211,3.8%
106403,359,2009,State-funded primary,432,217,215,50.2%,49.8%,20,4.6%,78,18.1%,81,351,0,18.8%,81.3%,0.0%,229,217,374,58.0%
106404,359,2010,State-funded primary,230,120,110,52.2%,47.8%,8,3.5%,40,17.4%,25,205,0,10.9%,89.1%,0.0%,72,66,203,32.5%
106405,359,2013,State-funded primary,479,245,234,51.1%,48.9%,5,1.0%,40,8.4%,101,378,0,21.1%,78.9%,0.0%,97,98,479,20.5%
106407,359,2017,State-funded primary,451,226,225,50.1%,49.9%,7,1.6%,53,11.8%,12,439,0,2.7%,97.3%,0.0%,51,52,409,12.7%
106412,359,2026,State-funded primary,456,237,219,52.0%,48.0%,7,1.5%,46,10.1%,2,454,0,0.4%,99.6%,0.0%,50,47,417,11.3%
106415,359,2031,State-funded primary,203,93,110,45.8%,54.2%,5,2.5%,23,11.3%,9,194,0,4.4%,95.6%,0.0%,93,93,203,45.8%
106417,359,2033,State-funded primary,218,111,107,50.9%,49.1%,4,1.8%,83,38.1%,20,198,0,9.2%,90.8%,0.0%,106,99,202,49.0%
106418,359,2034,State-funded primary,211,105,106,49.8%,50.2%,12,5.7%,39,18.5%,52,159,0,24.6%,75.4%,0.0%,110,112,211,53.1%
106421,359,2039,State-funded primary,210,90,120,42.9%,57.1%,6,2.9%,11,5.2%,6,204,0,2.9%,97.1%,0.0%,76,76,210,36.2%
106422,359,2040,State-funded primary,206,105,101,51.0%,49.0%,8,3.9%,67,32.5%,18,188,0,8.7%,91.3%,0.0%,120,120,206,58.3%
106424,359,2043,State-funded primary,434,216,218,49.8%,50.2%,6,1.4%,63,14.5%,13,421,0,3.0%,97.0%,0.0%,82,82,404,20.3%
106425,359,2045,State-funded primary,216,115,101,53.2%,46.8%,22,10.2%,73,33.8%,33,183,0,15.3%,84.7%,0.0%,120,111,196,56.6%
106426,359,2046,State-funded primary,339,168,171,49.6%,50.4%,4,1.2%,75,22.1%,9,330,0,2.7%,97.3%,0.0%,79,78,300,26.0%
106427,359,2047,State-funded primary,415,207,208,49.9%,50.1%,6,1.4%,29,7.0%,39,376,0,9.4%,90.6%,0.0%,53,53,415,12.8%
106428,359,2049,State-funded primary,434,202,232,46.5%,53.5%,5,1.2%,76,17.5%,41,393,0,9.4%,90.6%,0.0%,82,83,434,19.1%
106429,359,2050,State-funded primary,189,90,99,47.6%,52.4%,5,2.6%,33,17.5%,3,186,0,1.6%,98.4%,0.0%,19,22,189,11.6%
106430,359,2051,State-funded primary,420,178,242,42.4%,57.6%,7,1.7%,42,10.0%,20,399,1,4.8%,95.0%,0.2%,99,100,420,23.8%
106431,359,2053,State-funded primary,217,98,119,45.2%,54.8%,3,1.4%,16,7.4%,4,213,0,1.8%,98.2%,0.0%,19,20,217,9.2%
106433,359,2058,State-funded primary,485,242,243,49.9%,50.1%,13,2.7%,60,12.4%,32,453,0,6.6%,93.4%,0.0%,26,26,427,6.1%
106436,359,2062,State-funded primary,207,98,109,47.3%,52.7%,3,1.4%,23,11.1%,10,197,0,4.8%,95.2%,0.0%,22,22,207,10.6%
106438,359,3010,State-funded primary,202,94,108,46.5%,53.5%,4,2.0%,32,15.8%,14,188,0,6.9%,93.1%,0.0%,80,80,202,39.6%
106441,359,3015,State-funded primary,201,87,114,43.3%,56.7%,10,5.0%,27,13.4%,12,189,0,6.0%,94.0%,0.0%,86,86,201,42.8%
106443,359,3023,State-funded primary,151,65,86,43.0%,57.0%,2,1.3%,38,25.2%,12,139,0,7.9%,92.1%,0.0%,59,59,151,39.1%
106447,359,3029,State-funded primary,267,123,144,46.1%,53.9%,8,3.0%,87,32.6%,31,236,0,11.6%,88.4%,0.0%,131,134,267,50.2%
106448,359,3030,State-funded primary,409,199,210,48.7%,51.3%,12,2.9%,84,20.5%,40,369,0,9.8%,90.2%,0.0%,106,107,409,26.2%
106449,359,3300,State-funded primary,205,98,107,47.8%,52.2%,5,2.4%,36,17.6%,21,184,0,10.2%,89.8%,0.0%,38,38,205,18.5%
106451,359,3308,State-funded primary,198,93,105,47.0%,53.0%,2,1.0%,57,28.8%,13,185,0,6.6%,93.4%,0.0%,76,76,198,38.4%
106459,359,3326,State-funded primary,210,120,90,57.1%,42.9%,1,0.5%,20,9.5%,39,171,0,18.6%,81.4%,0.0%,23,23,210,11.0%
106460,359,3329,State-funded primary,364,186,178,51.1%,48.9%,8,2.2%,40,11.0%,94,270,0,25.8%,74.2%,0.0%,117,114,316,36.1%
106461,359,3331,State-funded primary,435,208,227,47.8%,52.2%,12,2.8%,69,15.9%,120,315,0,27.6%,72.4%,0.0%,124,117,390,30.0%
106463,359,3336,State-funded primary,340,176,164,51.8%,48.2%,3,0.9%,44,12.9%,15,325,0,4.4%,95.6%,0.0%,10,10,309,3.2%
106464,359,3338,State-funded primary,208,100,108,48.1%,51.9%,8,3.8%,27,13.0%,27,181,0,13.0%,87.0%,0.0%,118,119,208,57.2%
106465,359,3350,State-funded primary,196,92,104,46.9%,53.1%,6,3.1%,31,15.8%,4,192,0,2.0%,98.0%,0.0%,31,32,196,16.3%
106468,359,3358,State-funded primary,151,73,78,48.3%,51.7%,6,4.0%,25,16.6%,18,133,0,11.9%,88.1%,0.0%,60,60,151,39.7%
106470,359,3361,State-funded primary,150,68,82,45.3%,54.7%,5,3.3%,25,16.7%,23,127,0,15.3%,84.7%,0.0%,49,50,150,33.3%
106471,359,3362,State-funded primary,219,119,100,54.3%,45.7%,0,0.0%,15,6.8%,4,215,0,1.8%,98.2%,0.0%,95,90,204,44.1%
106472,359,3363,State-funded primary,192,89,103,46.4%,53.6%,16,8.3%,50,26.0%,11,181,0,5.7%,94.3%,0.0%,70,70,192,36.5%
106476,359,3367,State-funded primary,412,237,175,57.5%,42.5%,12,2.9%,70,17.0%,77,329,6,18.7%,79.9%,1.5%,240,231,385,60.0%
106478,359,3370,State-funded primary,203,102,101,50.2%,49.8%,10,4.9%,25,12.3%,3,200,0,1.5%,98.5%,0.0%,38,38,203,18.7%
106481,359,3373,State-funded primary,207,82,125,39.6%,60.4%,6,2.9%,43,20.8%,35,172,0,16.9%,83.1%,0.0%,116,117,207,56.5%
106482,359,3374,State-funded primary,209,94,115,45.0%,55.0%,2,1.0%,27,12.9%,9,200,0,4.3%,95.7%,0.0%,42,42,209,20.1%
106484,359,3376,State-funded primary,193,99,94,51.3%,48.7%,1,0.5%,19,9.8%,17,176,0,8.8%,91.2%,0.0%,43,46,193,23.8%
106485,359,3377,State-funded primary,216,108,108,50.0%,50.0%,2,0.9%,33,15.3%,5,211,0,2.3%,97.7%,0.0%,15,15,216,6.9%
106486,359,3378,State-funded primary,247,124,123,50.2%,49.8%,9,3.6%,36,14.6%,14,233,0,5.7%,94.3%,0.0%,35,35,215,16.3%
106487,359,3379,State-funded primary,218,90,128,41.3%,58.7%,5,2.3%,30,13.8%,17,196,5,7.8%,89.9%,2.3%,74,74,218,33.9%
106488,359,3382,State-funded primary,269,125,144,46.5%,53.5%,6,2.2%,52,19.3%,7,262,0,2.6%,97.4%,0.0%,56,56,269,20.8%
106490,359,3386,State-funded primary,205,100,105,48.8%,51.2%,2,1.0%,28,13.7%,18,187,0,8.8%,91.2%,0.0%,38,38,205,18.5%
106491,359,3387,State-funded primary,134,63,71,47.0%,53.0%,1,0.7%,18,13.4%,16,118,0,11.9%,88.1%,0.0%,28,28,134,20.9%
106492,359,3388,State-funded primary,385,179,206,46.5%,53.5%,3,0.8%,61,15.8%,11,374,0,2.9%,97.1%,0.0%,36,37,385,9.6%
106493,359,3389,State-funded primary,207,125,82,60.4%,39.6%,8,3.9%,29,14.0%,25,182,0,12.1%,87.9%,0.0%,25,25,207,12.1%
106494,359,3390,State-funded primary,182,85,97,46.7%,53.3%,5,2.7%,39,21.4%,12,170,0,6.6%,93.4%,0.0%,70,70,182,38.5%
106497,359,3394,State-funded primary,225,116,109,51.6%,48.4%,7,3.1%,40,17.8%,63,162,0,28.0%,72.0%,0.0%,102,95,202,47.0%
106498,359,3396,State-funded primary,171,81,90,47.4%,52.6%,1,0.6%,43,25.1%,41,130,0,24.0%,76.0%,0.0%,82,83,171,48.5%
106499,359,3397,State-funded primary,180,84,96,46.7%,53.3%,9,5.0%,18,10.0%,18,158,4,10.0%,87.8%,2.2%,69,69,180,38.3%
106501,359,3400,State-funded primary,212,117,95,55.2%,44.8%,6,2.8%,49,23.1%,29,183,0,13.7%,86.3%,0.0%,44,44,212,20.8%
106502,359,3403,State-funded primary,316,153,163,48.4%,51.6%,5,1.6%,61,19.3%,104,212,0,32.9%,67.1%,0.0%,101,102,316,32.3%
106503,359,3405,State-funded primary,212,111,101,52.4%,47.6%,8,3.8%,33,15.6%,23,189,0,10.8%,89.2%,0.0%,68,68,212,32.1%
